title,journal,year,citation,citation_per_year,author,URL
Knowing what you know in brain segmentation using Bayesian deep neural networks,Frontiers in …,2019,15,5,"['P McClure', 'N Rho', 'JA Lee', 'JR Kaczmarzyk']",https://www.frontiersin.org/articles/10.3389/fninf.2019.00067/full
Folk psychology and the Bayesian brain,NA,2017,14,2,['J Dewhurst'],https://philpapers.org/archive/JOEFPA.pdf
A neurocentric approach to Bayesian inference,Nature Reviews Neuroscience,2010,19,1,['CD Fiorillo'],https://www.nature.com/articles/nrn2787-c1
Unsupervised lesion detection in brain CT using bayesian convolutional autoencoders,Medical Imaging with …,2018,32,8,"['N Pawlowski', 'MC Lee', 'M Rajchl']",https://openreview.net/references/pdf?id=S1hpzoisz
Reinforcement learning for adaptive threshold control of restorative brain-computer interfaces: a Bayesian simulation,Frontiers in neuroscience,2015,46,6,"['R Bauer', 'A Gharabaghi']",https://www.frontiersin.org/articles/10.3389/fnins.2015.00036/full
Predictors of outcome in traumatic brain injury: new insight using receiver operating curve indices and Bayesian network analysis,PLoS one,2016,43,7,"['Z Zador', 'M Sperrin', 'AT King']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158762
Bayesian longitudinal segmentation of hippocampal substructures in brain MRI using subject-specific atlases,Neuroimage,2016,86,14,"['JE Iglesias', 'K Van Leemput', 'J Augustinack', 'R Insausti']",https://www.sciencedirect.com/science/article/pii/S1053811916303275
Dynamic Bayesian networks for brain-computer interfaces,Advances in neural information processing systems,2005,46,2,"['P Shenoy', 'RPN Rao']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.91.6139&rep=rep1&type=pdf
Bayesian learning for spatial filtering in an EEG-based brain–computer interface,IEEE transactions on neural …,2013,59,6,"['H Zhang', 'H Yang', 'C Guan']",https://personal.ntu.edu.sg/ctguan/Publications/2013_Haihong_IEEE_TNNLS.pdf
Variational Bayesian least squares: an application to brain–machine interface data,Neural Networks,2008,49,3,"['JA Ting', ""A D'Souza"", 'K Yamamoto', 'T Yoshioka']",https://www.sciencedirect.com/science/article/pii/S0893608008001330
Topographic factor analysis: a Bayesian model for inferring brain networks from neural data,PloS one,2014,44,5,"['JR Manning', 'R Ranganath', 'KA Norman', 'DM Blei']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0094914
Bayesian approach to the brain image matching problem,Medical Imaging …,1995,66,2,"['JC Gee', 'L Le Briquer', 'C Barillot']",https://repository.upenn.edu/cgi/viewcontent.cgi?article=1125&context=ircs_reports
Understanding the impact of stroke on brain motor function: A hierarchical Bayesian approach,Journal of the American …,2016,19,3,"['Z Yu', 'R Prado', 'EB Quinlan', 'SC Cramer']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5270649/
Integrative Bayesian analysis of brain functional networks incorporating anatomical knowledge,Neuroimage,2018,16,4,"['IA Higgins', 'S Kundu', 'Y Guo']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6139051/
Large-scale directional connections among multi resting-state neural networks in human brain: a functional MRI and Bayesian network modeling study,Neuroimage,2011,77,7,"['R Li', 'K Chen', 'AS Fleisher', 'EM Reiman', 'L Yao', 'X Wu']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3319766/
Bayesian network models in brain functional connectivity analysis,International Journal of Approximate …,2014,22,2,"['JS Ide', 'S Zhang', 'RL Chiang-shan']",https://www.sciencedirect.com/science/article/pii/S0888613X1300073X/pdf?md5=4b08058aecc397979a6029cf1d8b3e21&pid=1-s2.0-S0888613X1300073X-main.pdf
Bayesian exponential random graph modeling of whole-brain structural networks across lifespan,NeuroImage,2016,33,5,"['MRT Sinke', 'RM Dijkhuizen', 'A Caimo', 'CJ Stam']",https://dspace.library.uu.nl/bitstream/handle/1874/333867/Bayesian.pdf?sequence=1
Evaluation of hierarchical Bayesian method through retinotopic brain activities reconstruction from fMRI and MEG signals,Neuroimage,2008,66,4,"['T Yoshioka', 'K Toyama', 'M Kawato', 'O Yamashita']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.567.7790&rep=rep1&type=pdf
Brain-inspired bayesian perception for biomimetic robot touch,… on Robotics and …,2012,29,2,"['NF Lepora', 'JC Sullivan', 'B Mitchinson']",https://eprints.whiterose.ac.uk/108440/1/ICRA2012_final.pdf
Extraction of features from sleep EEG for Bayesian assessment of brain development,PloS one,2017,15,3,"['V Schetinin', 'L Jakaite']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0174027
Bayesian analysis of transverse signal decay with application to human brain,Magnetic resonance in …,2015,18,2,"['M Bouhrara', 'DA Reiter']",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mrm.25457
A Bayesian statistical analysis of behavioral facilitation associated with deep brain stimulation,Journal of neuroscience …,2009,37,2,"['AC Smith', 'SA Shah', 'AE Hudson', 'KP Purpura']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2743761/
The role of frontal cortical and medial-temporal lobe brain areas in learning a Bayesian prior belief on reversals,Journal of …,2015,50,7,"['AI Jang', 'VD Costa', 'PH Rudebeck']",https://www.jneurosci.org/content/jneuro/35/33/11751.full.pdf
A Bayesian account of 'hysteria',Brain,2012,461,46,"['MJ Edwards', 'RA Adams', 'H Brown', 'I Parees', 'KJ Friston']",https://academic.oup.com/brain/article/135/11/3495/270457
Classification of human brain tumours from MRS data using Discrete Wavelet Transform and Bayesian Neural Networks,Expert Systems with Applications,2012,44,4,"['C Arizmendi', 'A Vellido', 'E Romero']",https://www.cs.upc.edu/~eromero/Publications/Downloads/2012-eswa-dwl-mrs.pdf
Feature extraction from electroencephalograms for Bayesian assessment of newborn brain maturity,2011 24th International …,2011,18,1,"['L Jakaite', 'V Schetinin', 'J Schult']",https://uobrep.openrepository.com/bitstream/handle/10547/279174/Feature%20Extraction%20.pdf?sequence=1&isAllowed=y
Bayesian regression with undirected network predictors with an application to brain connectome data,Journal of the American Statistical …,2020,14,7,"['S Guha', 'A Rodriguez']",https://arxiv.org/pdf/1803.10655
Improved determination of the myelin water fraction in human brain using magnetic resonance imaging through Bayesian analysis of mcDESPOT,NeuroImage,2016,38,6,"['M Bouhrara', 'RG Spencer']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4854306/
Predicting the brain response to treatment using a Bayesian hierarchical model with application to a study of schizophrenia,Human brain mapping,2008,39,2,"['Y Guo', 'F DuBois Bowman', 'C Kilts']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.20450
Modeling and predicting the occurrence of brain metastasis from lung cancer by Bayesian network: a case study of Taiwan,Computers in biology and medicine,2014,36,4,"['KJ Wang', 'B Makond', 'KM Wang']",http://persagen.com/files/misc/wang2014modeling.pdf
Brain activity mapping from MEG data via a hierarchical Bayesian algorithm with automatic depth weighting,Brain topography,2019,15,5,"['D Calvetti', 'A Pascarella', 'F Pitolli', 'E Somersalo']",https://iris.uniroma1.it/retrieve/handle/11573/1151397/1475211/MEGSIM2_Final_postprint.pdf
Bayesian machine learning applied in a brain-computer interface for disabled users,NA,2007,38,2,['U Hoffmann'],https://infoscience.epfl.ch/record/111341/files/EPFL_TH3924.pdf
"Spatial attention, motor intention, and Bayesian cue predictability in the human brain",Journal of …,2017,17,3,"['AB Kuhns', 'PL Dombert', 'P Mengotti']",https://www.jneurosci.org/content/jneuro/37/21/5334.full.pdf
Bayesian inference of whole-brain networks,arXiv preprint arXiv:1202.1696,2012,13,1,"['M Hinne', 'T Heskes', 'MAJ van Gerven']",https://arxiv.org/pdf/1202.1696
Bayesian brains without probabilities,Trends in cognitive sciences,2016,210,35,"['AN Sanborn', 'N Chater']",https://www.sciencedirect.com/science/article/pii/S1364661316301565
Beyond one Bayesian brain: Modeling intra-and inter-personal processes during social interaction: Commentary on “Mentalizing homeostasis: The social origins of …,Neuropsychoanalysis,2017,51,10,"['D Bolis', 'L Schilbach']",https://www.researchgate.net/profile/Dimitris_Bolis/publication/313739644_Beyond_one_Bayesian_brain_Modeling_intra_-_and_inter_personal_processes_during_social_interaction_Commentary_on_Mentalizing_Homeostasis_The_Social_Origins_of_Interoceptive_Inference_by_Fotopoulou_Tsak/links/59ec6e504585151983cb8b38/Beyond-one-Bayesian-brain-Modeling-intra-and-inter-personal-processes-during-social-interaction-Commentary-on-Mentalizing-Homeostasis-The-Social-Origins-of-Interoceptive-Inference-by-Fotopoulou-Ts.pdf
Blast-related mild traumatic brain injury: a Bayesian random-effects meta-analysis on the cognitive outcomes of concussion among military personnel,Neuropsychology …,2014,61,7,"['JE Karr', 'CN Areshenkoff', 'EC Duggan']",http://areshenk-research-notes.com/wp-content/uploads/2018/05/10.1007_s11065-014-9271-8.pdf
Predicting individual brain functional connectivity using a Bayesian hierarchical model,NeuroImage,2017,12,2,"['T Dai', 'Y Guo']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5303638/
Sensory adaptation and short term plasticity as Bayesian correction for a changing brain,PloS one,2010,27,2,"['IH Stevenson', 'B Cronin', 'M Sur', 'KP Kording']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0012436
Search for patterns of functional specificity in the brain: a nonparametric hierarchical Bayesian model for group fMRI data,Neuroimage,2012,32,3,"['D Lashkari', 'R Sridharan', 'E Vul', 'PJ Hsieh', 'N Kanwisher']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3972261/
Modeling water diffusion anisotropy within fixed newborn primate brain using Bayesian probability theory,Magnetic Resonance in …,2006,46,2,"['CD Kroenke', 'GL Bretthorst', 'TE Inder']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/mrm.20728
31P NMR bayesian spectral analysis of rat brain in vivo,Magnetic resonance in …,1989,35,1,"['GL Bretthorst', 'JJ Kotyk']",https://bayes.wustl.edu/glb/31p.pdf
