title,journal,year,citation,citation_per_year,author,URL
Bayesian Network and Structured Random Forest Cooperative Deep Learning for Automatic Multi-label Brain Tumor Segmentation.,ICAART (2),2018,10,2,"['S Amiri', 'MA Mahjoub', 'I Rekik']",https://www.researchgate.net/profile/Mohamed_Mahjoub2/publication/322872890_Bayesian_Network_and_Structured_Random_Forest_Cooperative_Deep_Learning_for_Automatic_Multi-label_Brain_Tumor_Segmentation/links/5ab3bb670f7e9b4897c6bd31/Bayesian-Network-and-Structured-Random-Forest-Cooperative-Deep-Learning-for-Automatic-Multi-label-Brain-Tumor-Segmentation.pdf
On matching brain volumes,Pattern recognition,1999,115,5,['JC Gee'],https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.45.6243&rep=rep1&type=pdf
Bayesian decision trees for EEG assessment of newborn brain maturity,2010 UK Workshop on …,2010,13,1,"['L Jakaite', 'V Schetinin', 'C Maple']",https://www.researchgate.net/profile/Vitaly_Schetinin/publication/224191002_Bayesian_Decision_Trees_for_EEG_Assessment_of_newborn_brain_maturity/links/0912f5126923b54e74000000/Bayesian-Decision-Trees-for-EEG-Assessment-of-newborn-brain-maturity.pdf
Bayesian non-negative matrix factorization,International Conference on …,2009,234,18,"['MN Schmidt', 'O Winther', 'LK Hansen']",http://mikkelschmidt.dk/papers/schmidt2009ica.pdf
Bayesian integration in sensorimotor learning,Nature,2004,1942,107,"['KP Körding', 'DM Wolpert']",https://nemenmanlab.org/~ilya/images/1/1b/Kording-wolpert-04.pdf
Network plasticity as Bayesian inference,PLoS Comput …,2015,90,12,"['D Kappel', 'S Habenschuss', 'R Legenstein']",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004485
Discriminative brain effective connectivity analysis for Alzheimer's disease: a kernel learning approach upon sparse Gaussian Bayesian network,Proceedings of the …,2013,17,1,"['L Zhou', 'L Wang', 'L Liu']",http://openaccess.thecvf.com/content_cvpr_2013/papers/Zhou_Discriminative_Brain_Effective_2013_CVPR_paper.pdf
A comparative evaluation of wavelet-based methods for hypothesis testing of brain activation maps,NeuroImage,2004,50,2,"['MJ Fadili', 'ET Bullmore']",https://hal.archives-ouvertes.fr/hal-01123845/file/NIMG2004.pdf
A Bayesian non-parametric hidden Markov random model for hemodynamic brain parcellation,Signal Processing,2017,12,2,"['M Albughdadi', 'L Chaari', 'JY Tourneret', 'F Forbes']",https://oatao.univ-toulouse.fr/19379/1/Albughdadi_19379.pdf
Towards tailoring non-invasive brain stimulation using real-time fMRI and Bayesian optimization,… Workshop on Pattern …,2016,12,2,"['R Lorenz', 'RP Monti', 'A Hampshire']",https://arxiv.org/pdf/1605.01270
A new similarity measure based on Bayesian Network signature correspondence for brain tumors cases retrieval,International Journal of …,2014,10,1,"['H Yazid', 'K Kalti', 'NE Benamara']",https://download.atlantis-press.com/article/25868545.pdf
Bayesian learning in assisted brain-computer interface tasks,… Conference of the IEEE …,2012,10,1,"['Y Zhang', 'AB Schwartz', 'SM Chase']",https://kilthub.cmu.edu/articles/journal_contribution/Bayesian_learning_in_assisted_brain-computer_interface_tasks_/6586469/files/12073454.pdf
A Bayesian approach for stochastic white matter tractography,IEEE transactions on …,2006,334,20,"['O Friman', 'G Farneback']",https://www.researchgate.net/profile/Carl-Fredrik_Westin/publication/6892102_A_Bayesian_approach_for_stochastic_white_matter_tractography/links/0912f512b8f3b0f579000000.pdf
Bayesian inference for an adaptive ordered probit model: An application to brain computer interfacing,Neural Networks,2011,13,1,"['JW Yoon', 'SJ Roberts', 'M Dyson', 'JQ Gan']",https://www.academia.edu/download/30681143/Yoon11_OrderedEKF.pdf
Nonparametric hierarchical Bayesian model for functional brain parcellation,2010 IEEE Computer …,2010,13,1,"['D Lashkari', 'R Sridharan', 'E Vul', 'PJ Hsieh']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3153957/
Fully automatic brain tumor segmentation using a normalized Gaussian Bayesian classifier and 3D fluid vector flow,2010 IEEE International Conference …,2010,16,1,"['T Wang', 'I Cheng', 'A Basu']",https://arxiv.org/pdf/1905.00469
MR brain tissue classification using an edge-preserving spatially variant Bayesian mixture model,International Conference on …,2008,13,0,"['G Sfikas', 'C Nikou', 'N Galatsanos', 'C Heinrich']",https://link.springer.com/content/pdf/10.1007/978-3-540-85988-8_6.pdf
To integrate or not to integrate: Temporal dynamics of hierarchical Bayesian causal inference,PLoS biology,2019,30,10,"['M Aller', 'U Noppeney']",https://journals.plos.org/plosbiology/article?rev=1&id=10.1371/journal.pbio.3000210
Equilibrium water exchange between the intra‐and extracellular spaces of mammalian brain,… in Medicine: An …,2003,180,9,"['JD Quirk', 'GL Bretthorst', 'TQ Duong']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/mrm.10565
Bayesian P-splines,Journal of computational and graphical …,2004,869,48,"['S Lang', 'A Brezger']",https://epub.ub.uni-muenchen.de/1617/1/paper_236.pdf
Interactive segmentation in multi-modal brain imagery using a bayesian transductive learning approach,Medical Imaging 2009 …,2009,15,1,"['N Lee', 'J Caban', 'S Ebadollahi']",https://academiccommons.columbia.edu/doi/10.7916/D8C53VZ6/download
Use of a Bayesian maximum-likelihood classifier to generate training data for brain–machine interfaces,Journal of neural …,2011,13,1,"['KA Ludwig', 'RM Miriani', 'NB Langhals']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3145156/
Evidence for neural encoding of Bayesian surprise in human somatosensation,NeuroImage,2012,82,8,"['D Ostwald', 'B Spitzer', 'M Guggenmos', 'TT Schmidt']",https://www.ewi-psy.fu-berlin.de/einrichtungen/arbeitsbereiche/computational_cogni_neurosc/downloads/Ostwald_NI_12.pdf
Application of the Naïve Bayesian Classifier to optimize treatment decisions,Radiotherapy and Oncology,2008,88,6,"['J Kazmierska', 'J Malicki']",https://www.researchgate.net/profile/Kazmierska_Joanna/publication/50475795_Zastosowanie_Naiwnego_Klasyfikatora_Bayesowskiego_do_oceny_ryzyka_wznowy_u_chorych_po_radioterapii_nowotworow_mozgu/links/565f49e208aefe619b288140/Zastosowanie-Naiwnego-Klasyfikatora-Bayesowskiego-do-oceny-ryzyka-wznowy-u-chorych-po-radioterapii-nowotworow-mozgu.pdf
Computational psychiatry: the brain as a phantastic organ,The Lancet Psychiatry,2014,414,51,"['KJ Friston', 'KE Stephan', 'R Montague', 'RJ Dolan']",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1060.58&rep=rep1&type=pdf
Modeling neuronal interactivity using dynamic bayesian networks,Advances in neural …,2006,41,2,"['L Zhang', 'D Samaras', 'N Alia-Klein', 'N Volkow']",http://web.mit.edu/swg/ImagingPubs/connectivity/Zhang_DBN.pdf
Robust Bayesian estimation of the hemodynamic response function in event‐related BOLD fMRI using basic physiological information,Human Brain …,2003,161,8,"['G Marrelec', 'H Benali', 'P Ciuciu']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.10100
Efficiently searching through large tACS parameter spaces using closed-loop Bayesian optimization,Brain stimulation,2019,24,8,"['R Lorenz', 'LE Simmons', 'RP Monti', 'JL Arthur', 'S Limal']",https://www.sciencedirect.com/science/article/pii/S1935861X19302852
Improving the quality of small animal brain pinhole SPECT imaging by Bayesian reconstruction,European journal of …,2004,14,0,"['A Sohlberg', 'S Lensu', 'J Jolkkonen', 'L Tuomisto']",https://www.academia.edu/download/46010530/s00259-004-1488-y20160527-10679-ui4kye.pdf
Computational model of an infant brain subjected to periodic motion simplified modelling and bayesian sensitivity analysis,Proceedings of the …,2011,11,1,"['DC Batterbee', 'ND Sims', 'W Becker']",https://www.researchgate.net/profile/William_Becker4/publication/221793477_Computational_model_of_an_infant_brain_subjected_to_periodic_motion_simplified_modelling_and_Bayesian_sensitivity_analysis/links/571f7ffe08aead26e71b65e1.pdf
A Bayesian perceptual model replicates the cutaneous rabbit and other tactile spatiotemporal illusions,PloS one,2007,112,7,['D Goldreich'],https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0000333
When can predictive brains be truly Bayesian?,Frontiers in psychology,2012,15,1,"['M Blokpoel', 'J Kwisthout', 'I van Rooij']",https://www.frontiersin.org/articles/10.3389/fpsyg.2012.00406/full
The development of Bayesian integration in sensorimotor estimation,Journal of …,2018,40,10,"['C Chambers', 'T Sokhey', 'D Gaebler-Spira']",https://tvst.arvojournals.org/article.aspx?articleid=2715085
Oligogenic model selection using the bayesian information criterion: Linkage analysis of the P300 Cz event‐related brain potential,Genetic …,1999,22,0,"['J Blangero', 'JT Williams', 'SJ Iturria']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/gepi.1370170712
Differential representations of prior and likelihood uncertainty in the human brain,Current Biology,2012,120,12,"['I Vilares', 'JD Howard', 'HL Fernandes', 'JA Gottfried']",https://www.sciencedirect.com/science/article/pii/S0960982212008019
Bayesian model selection for pathological neuroimaging data applied to white matter lesion segmentation,IEEE transactions on …,2015,115,16,"['CH Sudre', 'MJ Cardoso', 'WH Bouvy']",https://ieeexplore.ieee.org/iel7/42/7283692/07078891.pdf
Bayesian spatiotemporal inference in functional magnetic resonance imaging,Biometrics,2001,140,6,"['C Gössl', 'DP Auer', 'L Fahrmeir']",https://epub.ub.uni-muenchen.de/1582/1/paper_192.pdf
"Bayesian approaches to autism: Towards volatility, action, and behavior.",Psychological bulletin,2017,154,30,"['CJ Palmer', 'RP Lawson', 'J Hohwy']",https://www.researchgate.net/profile/Jakob_Hohwy/publication/315598050_Bayesian_Approaches_to_Autism_Towards_Volatility_Action_and_Behavior/links/58db9c5baca2725c47162b45/Bayesian-Approaches-to-Autism-Towards-Volatility-Action-and-Behavior.pdf
A hierarchical Bayesian approach for learning sparse spatio-temporal decompositions of multichannel EEG,NeuroImage,2011,54,4,"['W Wu', 'Z Chen', 'S Gao', 'EN Brown']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3128889/
On the use of bayesian probability theory for analysis of exponential decay date: An example taken from intravoxel incoherent motion experiments,Magnetic resonance in medicine,1993,122,4,"['JJ Neil', 'GL Bretthorst']",http://bayes.wustl.edu/glb/NealBretthorst.pdf
Bayesian segmentation of brainstem structures in MRI,Neuroimage,2015,102,14,"['JE Iglesias', 'K Van Leemput', 'P Bhatt', 'C Casillas', 'S Dutt']",https://www.sciencedirect.com/science/article/pii/S1053811915001895
The free-energy principle: a unified brain theory?,Nature reviews neuroscience,2010,4731,394,['K Friston'],https://www.uab.edu/medicine/cinl/images/KFriston_FreeEnergy_BrainTheory.pdf
The functional anatomy of time: what and when in the brain,Trends in cognitive sciences,2016,145,24,"['K Friston', 'G Buzsáki']",https://discovery.ucl.ac.uk/id/eprint/10048631/4/Friston%20Anatomy%20of%20time.pdf
Bayesian comparison of spatially regularised general linear models,Human brain mapping,2007,89,5,"['W Penny', 'G Flandin', 'N Trujillo‐Barreto']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.20327
"Personalized radiotherapy Design for Glioblastoma: integrating mathematical tumor models, multimodal scans, and Bayesian inference",IEEE transactions on …,2019,35,11,"['J Lipková', 'P Angelikopoulos', 'S Wu']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7170051/
An integrative Bayesian approach to matrix‐based analysis in neuroimaging,Human brain …,2019,10,3,"['G Chen', 'PC Bürkner', 'PA Taylor', 'Z Li', 'L Yin']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.24686
Bayesian switching factor analysis for estimating time-varying functional connectivity in fMRI,Neuroimage,2017,33,6,"['J Taghia', 'S Ryali', 'T Chen', 'K Supekar', 'W Cai', 'V Menon']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5536190/
Bayesian inference applied to the electromagnetic inverse problem,Human brain mapping,1999,193,8,"['DM Schmidt', 'JS George', 'CC Wood']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/(SICI)1097-0193(1999)7:3%3C195::AID-HBM4%3E3.0.CO;2-F
A Bayesian foundation for individual learning under uncertainty,Frontiers in human …,2011,433,39,"['C Mathys', 'J Daunizeau', 'KJ Friston']",https://www.frontiersin.org/articles/10.3389/fnhum.2011.00039/full
Bayesian optimal adaptation explains age-related human sensorimotor changes,Journal of …,2018,19,4,"['F Karmali', 'GT Whitman']",https://journals.physiology.org/doi/full/10.1152/jn.00710.2017
"A multi-subject, dynamic Bayesian networks (dbns) framework for brain effective connectivity",2007 IEEE International …,2007,10,0,"['J Li', 'ZJ Wang', 'MJ McKeown']",https://www.researchgate.net/profile/Z_Wang6/publication/220735424_A_Multi-Subject_Dynamic_Bayesian_Networks_DBNS_Framework_for_Brain_Effective_Connectivity/links/0c9605294daf3ecf70000000.pdf
A Bayesian morphometry algorithm,IEEE Transactions on …,2004,21,1,"['EH Herskovits', 'H Peng']",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.4.4534&rep=rep1&type=pdf
Bayesian estimation of evoked and induced responses,Human brain …,2006,112,7,"['K Friston', 'R Henson', 'C Phillips']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.20214
Bayesian joint detection-estimation of brain activity using MCMC with a Gamma-Gaussian mixture prior model,2006 IEEE International …,2006,11,0,"['S Makni', 'P Ciuciu', 'J Idier']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.74.2084&rep=rep1&type=pdf
A Bayesian perspective on magnitude estimation,Trends in cognitive sciences,2015,197,28,"['FH Petzschner', 'S Glasauer', 'KE Stephan']",https://www.researchgate.net/profile/Frederike_Petzschner/publication/274406769_A_Bayesian_perspective_on_magnitude_estimation/links/5b9235bf92851c78c4f3f134/A-Bayesian-perspective-on-magnitude-estimation.pdf
… source imaging of spatiotemporal brain dynamical patterns using frequency-domain independent vector analysis (IVA) and geodesic sparse Bayesian learning …,… of the Organization for Human Brain …,2007,12,0,"['RR Ramírez', 'S Makeig']",https://sccn.ucsd.edu/~scott/pdf/Rey_Ramirez_HBM2007_poster.pdf
Bayesian models for functional magnetic resonance imaging data analysis,Wiley Interdisciplinary …,2015,64,9,"['L Zhang', 'M Guindani']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4346370/
Dynamic Bayesian networks (DBNS) demonstrate impaired brain connectivity during performance of simultaneous movements in Parkinson's disease,3rd IEEE International …,2006,11,0,"['J Li', 'ZJ Wang', 'MJ McKeown']",https://www.researchgate.net/profile/Z_Wang6/publication/221623522_Dynamic_Bayesian_networks_DBNS_demonstrate_impaired_brain_connectivity_during_performance_of_simultaneous_movements_in_Parkinson%27s_disease/links/0c9605294daf36be84000000/Dynamic-Bayesian-networks-DBNS-demonstrate-impaired-brain-connectivity-during-performance-of-simultaneous-movements-in-Parkinsons-disease.pdf
Visual P300-based BCI to steer a wheelchair: a Bayesian approach,2008 30th Annual …,2008,104,7,"['G Pires', 'M Castelo-Branco']",https://www.academia.edu/download/39964099/Visual_P300-based_BCI_to_steer_a_Wheelch20151113-30017-yu22l.pdf
On hyperpriors and hypopriors: comment on Pellicano and Burr,Trends in cognitive sciences,2013,121,13,"['KJ Friston', 'R Lawson', 'CD Frith']",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.300.2358&rep=rep1&type=pdf
P300 Chinese input system based on Bayesian LDA,Biomedizinische …,2010,66,5,"['J Jin', 'BZ Allison', 'C Brunner', 'B Wang']",https://www.researchgate.net/profile/Jing_Jin/publication/41403718_P300_Chinese_input_system_based_on_Bayesian_LDA/links/0deec531ec4a3d3217000000.pdf
A Bayesian hierarchical framework for spatial modeling of fMRI data,NeuroImage,2008,142,10,"['FDB Bowman', 'B Caffo', 'SS Bassett', 'C Kilts']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2134321/
Bayesian approach to segmentation of statistical parametric maps,IEEE Transactions on biomedical …,2001,54,2,"['JC Rajapakse', 'J Piyaratna']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.435.2034&rep=rep1&type=pdf
"Robust Bayesian estimation of the location, orientation, and time course of multiple correlated neural sources using MEG",NeuroImage,2010,198,16,"['DP Wipf', 'JP Owen', 'HT Attias', 'K Sekihara']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4083006/
Vision as Bayesian inference: analysis by synthesis?,Trends in cognitive sciences,2006,815,50,"['A Yuille', 'D Kersten']",https://escholarship.org/content/qt48h6p1v7/qt48h6p1v7.pdf
Active interoceptive inference and the emotional brain,… Transactions of the Royal Society B …,2016,387,64,"['AK Seth', 'KJ Friston']",https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0007
Bayesian reconstruction and use of anatomical a priori information for emission tomography,IEEE transactions on …,1996,265,10,"['JE Bowsher', 'VE Johnson', 'TG Turkington']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.43.5645&rep=rep1&type=pdf
A Bayesian framework for active artificial perception,IEEE transactions on …,2013,56,6,"['J Ferreira', 'J Lobo', 'P Bessiere']",https://hal.archives-ouvertes.fr/hal-00747148/file/A_Bayesian_Framework_for_Active_Artificial_Perception.pdf
Bayesian analysis of neuroimaging data in FSL,Neuroimage,2009,2083,160,"['MW Woolrich', 'S Jbabdi', 'B Patenaude', 'M Chappell']",http://www.dei.unipd.it/~enrigri/Public/Nordio/Biblio/woolrich09.pdf
Multivariate Bayesian classification of epilepsy EEG signals,2016 IEEE 12th …,2016,21,3,"['A Quintero-Rincón', 'J Prendes']",https://hal.archives-ouvertes.fr/hal-01782569/document
Attention in a Bayesian framework,Frontiers in human neuroscience,2012,65,6,"['L Whiteley', 'M Sahani']",https://www.frontiersin.org/articles/10.3389/fnhum.2012.00100/full
Bayesian network–response regression,Bioinformatics,2017,17,3,"['L Wang', 'D Durante', 'RE Jung', 'DB Dunson']",https://academic.oup.com/bioinformatics/article/33/12/1859/2971437
Generalization of prior information for rapid Bayesian time estimation,Proceedings of the …,2017,51,10,"['NW Roach', 'PV McGraw']",https://www.pnas.org/content/114/2/412.full
How does Bayesian reverse-engineering work?,Proceedings of the Annual Meeting of the …,2014,47,5,"['C Zednik', 'F Jakel']",https://escholarship.org/content/qt61s9n028/qt61s9n028.pdf
"Bayesian networks, Bayesian learning and cognitive development",NA,2007,175,11,"['A Gopnik', 'JB Tenenbaum']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.68.2384&rep=rep1&type=pdf
Bayesian inferences about the self (and others): A review,Consciousness and …,2014,129,16,"['M Moutoussis', 'P Fearon', 'W El-Deredy', 'RJ Dolan']",https://www.sciencedirect.com/science/article/pii/S1053810014000105
Bayesian MS lesion classification modeling regional and local spatial information,18th International …,2006,50,3,"['R Harmouche', 'L Collins', 'D Arnold']",https://www.researchgate.net/profile/Tal_Arbel/publication/220928474_Bayesian_MS_Lesion_Classification_Modeling_Regional_and_Local_Spatial_Information/links/54f9d3e10cf29a9fbd7c5568.pdf
"Bayesian inference, dysconnectivity and neuromodulation in schizophrenia",Brain,2016,14,2,"['KE Stephan', 'AO Diaconescu', 'S Iglesias']",https://academic.oup.com/brain/article/139/7/1874/2464339
Perceptual biases are inconsistent with Bayesian encoding of speed in the human visual system,Journal of vision,2015,47,6,"['O Hassan', 'ST Hammett']",https://jov.arvojournals.org/article.aspx?articleID=2213273
Fully automatic segmentation of multiple sclerosis lesions in brain MR FLAIR images using adaptive mixtures method and Markov random field model,Computers in biology and …,2008,191,13,"['R Khayati', 'M Vafadust', 'F Towhidkhah']",http://bme2.aut.ac.ir/~towhidkhah/Papers/ComputBiolMed2008.pdf
Discrete dynamic Bayesian network analysis of fMRI data,NA,2009,66,5,"['J Burge', 'T Lane', 'H Link', 'S Qiu', 'VP Clark']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.20490
The anticipating brain is not a scientist: the free-energy principle from an ecological-enactive perspective,Synthese,2018,234,58,"['J Bruineberg', 'J Kiverstein', 'E Rietveld']",https://link.springer.com/article/10.1007/s11229-016-1239-1
"P300 amplitude variations, prior probabilities, and likelihoods: A Bayesian ERP study","Cognitive, Affective, & …",2016,32,5,"['B Kopp', 'C Seer', 'F Lange', 'A Kluytmans']",https://link.springer.com/article/10.3758/s13415-016-0442-3
Hierarchical Bayesian inference in networks of spiking neurons,Advances in neural information processing …,2005,93,5,['RPN Rao'],http://www.informatik.uni-ulm.de/ni/staff/FSchwenker/lit/papers/rao_nips04.pdf
An image-processing system for qualitative and quantitative volumetric analysis of brain images,Journal of computer …,1998,303,12,"['AF Goldszal', 'C Davatzikos', 'DL Pham']",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.47.1076&rep=rep1&type=pdf
Perceptual decision making: drift-diffusion model is equivalent to a Bayesian model,Frontiers in human …,2014,115,14,"['S Bitzer', 'H Park', 'F Blankenburg']",https://www.frontiersin.org/articles/10.3389/fnhum.2014.00102/full
Spiking networks for Bayesian inference and choice,Current opinion in neurobiology,2008,109,7,"['WJ Ma', 'JM Beck', 'A Pouget']",https://www.cns.nyu.edu/malab/static/files/publications/2008%20Ma%20Beck%20Pouget.pdf
Bayesian fundamentalism or enlightenment? On the explanatory status and theoretical contributions of Bayesian models of cognition,Behavioral and brain sciences,2011,538,48,"['M Jones', 'BC Love']",https://jeffbowers.blogs.bristol.ac.uk/files/2017/09/behavioral-brain-34-193-194.pdf
Adaptive behavior: Humans act as Bayesian learners,Current Biology,2007,57,3,['JY Angela'],https://www.sciencedirect.com/science/article/pii/S0960982207019252
A sparse structure learning algorithm for gaussian bayesian network identification from high-dimensional data,IEEE transactions on …,2012,75,7,"['S Huang', 'J Li', 'J Ye', 'A Fleisher', 'K Chen']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3924722/
Comparison of brain–computer interface decoding algorithms in open-loop and closed-loop control,Journal of computational …,2010,168,14,"['S Koyama', 'SM Chase', 'AS Whitford', 'M Velliste']",https://www.stat.cmu.edu/~kass/papers/comparison.pdf
Bayesian estimation of regularization and atlas building in diffeomorphic image registration,International conference on information …,2013,79,8,"['M Zhang', 'N Singh', 'PT Fletcher']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6400275/
Hierarchical multiscale Bayesian algorithm for robust MEG/EEG source reconstruction,NeuroImage,2018,23,5,"['C Cai', 'K Sekihara', 'SS Nagarajan']",https://www.sciencedirect.com/science/article/pii/S1053811918306712
Tactile length contraction as Bayesian inference,Journal of neurophysiology,2016,17,2,"['J Tong', 'V Ngo', 'D Goldreich']",https://journals.physiology.org/doi/full/10.1152/jn.00029.2016
A spatio-temporal nonparametric Bayesian variable selection model of fMRI data for clustering correlated time courses,NeuroImage,2014,53,6,"['L Zhang', 'M Guindani', 'F Versace', 'M Vannucci']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4076058/
Dynamic Bayesian network modeling of fMRI: a comparison of group-analysis methods,Neuroimage,2008,74,5,"['J Li', 'ZJ Wang', 'SJ Palmer', 'MJ McKeown']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.320.3677&rep=rep1&type=pdf
Voxelwise Bayesian lesion-deficit analysis,Neuroimage,2008,32,2,"['R Chen', 'AE Hillis', 'M Pawlak', 'EH Herskovits']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2394734/
A bayesian attractor model for perceptual decision making,PLoS Comput Biol,2015,42,6,"['S Bitzer', 'J Bruineberg', 'SJ Kiebel']",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004442
Automated Bayesian segmentation of microvascular white-matter lesions in the ACCORD-MIND study,Advances in medical sciences,2008,26,1,"['E Herskovits', 'R Bryan', 'F Yang']",https://escholarship.org/content/qt44w211cg/qt44w211cg.pdf
A Bayesian model for joint segmentation and registration,NeuroImage,2006,323,20,"['KM Pohl', 'J Fisher', 'WEL Grimson', 'R Kikinis', 'WM Wells']",https://www.na-mic.org/w/img_auth.php/7/79/Pohl-NeuroImage-06.pdf
Bayesian reconstructions from emission tomography data using a modified EM algorithm,IEEE transactions on medical imaging,1990,1573,49,['PJ Green'],http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.144.8671&rep=rep1&type=pdf
Bayesian just-so stories in psychology and neuroscience.,Psychological bulletin,2012,450,45,"['JS Bowers', 'CJ Davis']",http://www.nyu.edu/gsas/dept/philo/courses/readings/2012.justso.pdf
Bayesian models of cognition,Wiley Interdisciplinary …,2010,82,6,"['N Chater', 'M Oaksford', 'U Hahn']",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.717.3273&rep=rep1&type=pdf
A spatiotemporal nonparametric Bayesian model of multi-subject fMRI data,Annals of Applied …,2016,45,7,"['L Zhang', 'M Guindani', 'F Versace']",https://projecteuclid.org/download/pdfview_1/euclid.aoas/1469199888
Hybrid ICA–Bayesian network approach reveals distinct effective connectivity differences in schizophrenia,Neuroimage,2008,58,4,"['D Kim', 'J Burge', 'T Lane', 'GD Pearlson', 'KA Kiehl']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2566775/
The enigma of the tinnitus-free dream state in a Bayesian world,Neural plasticity,2014,15,1,"['D De Ridder', 'K Joos', 'S Vanneste']",https://www.hindawi.com/journals/np/2014/612147/abs/
Inferring functional interaction and transition patterns via dynamic Bayesian variable partition models,Human brain …,2014,43,5,"['J Zhang', 'X Li', 'C Li', 'Z Lian', 'X Huang']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.22404
Gene expression profiling of individual cases reveals consistent transcriptional changes in alcoholic human brain,Journal of …,2004,125,6,"['J Liu', 'JM Lewohl', 'PR Dodd', 'PK Randall']",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1471-4159.2004.02570.x
Bayesian algorithm using spatial priors for multiexponential T2 relaxometry from multiecho spin echo MRI,Magnetic resonance in …,2012,56,5,"['D Kumar', 'TD Nguyen', 'SA Gauthier']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/mrm.24170
An integrative Bayesian modeling approach to imaging genetics,Journal of the American …,2013,40,4,"['FC Stingo', 'M Guindani', 'M Vannucci']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3843531/
"Spatial attention, precision, and Bayesian inference: a study of saccadic response speed",Cerebral …,2014,133,16,"['S Vossel', 'C Mathys', 'J Daunizeau', 'M Bauer']",https://academic.oup.com/cercor/article/24/6/1436/295093
Bayesian efficient coding,BioRxiv,2017,41,8,"['IM Park', 'JW Pillow']",https://www.biorxiv.org/content/biorxiv/early/2020/07/08/178418.full.pdf
Structurally-informed Bayesian functional connectivity analysis,NeuroImage,2014,46,5,"['M Hinne', 'L Ambrogioni', 'RJ Janssen', 'T Heskes']",https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.720.5793&rep=rep1&type=pdf
What to believe: Bayesian methods for data analysis,Trends in cognitive sciences,2010,312,26,['JK Kruschke'],https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.227.2007&rep=rep1&type=pdf
A Bayesian approach to dynamic contours through stochastic sampling and simulated annealing,IEEE Transactions on Pattern Analysis and Machine …,1994,282,10,['G Storvik'],https://www.duo.uio.no/bitstream/handle/10852/47919/1994-1.pdf?sequence=1
Beyond autism: Introducing the dialectical misattunement hypothesis and a Bayesian account of intersubjectivity,…,2017,104,20,"['D Bolis', 'J Balsters', 'N Wenderoth', 'C Becchio']",https://pure.mpg.de/rest/items/item_2486646/component/file_2491529/content
MEG source localization of spatially extended generators of epileptic activity: comparing entropic and hierarchical bayesian approaches,PloS one,2013,89,9,"['RA Chowdhury', 'JM Lina', 'E Kobayashi', 'C Grova']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0055969
Reconstruction of two-dimensional movement trajectories from selected magnetoencephalography cortical currents by combined sparse Bayesian methods,Neuroimage,2011,75,6,"['A Toda', 'H Imamizu', 'M Kawato', 'M Sato']",https://www.academia.edu/download/50872654/Reconstruction_of_two-dimensional_moveme20161213-13098-1d5u6sr.pdf
